X,Y,OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-8824577.75030494,5418304.66404168,99,GO-2005863854,2005/07/17 04:00:00+00,2005,July,17,Sunday,198,D41,Other,121,Oakridge,121,Oakridge (121),-79.2725306903913,43.6946184257853
-8847910.79870181,5416150.58493032,100,GO-20051059962,2005/07/19 04:00:00+00,2005,July,19,Tuesday,200,D12,Shooting,111,Rockcliffe-Smythe,111,Rockcliffe-Smythe (111),-79.4821350300388,43.6806258190238
-8830512.64999356,5425812.55892047,101,GO-20051070618,2005/07/20 04:00:00+00,2005,July,20,Wednesday,201,D33,Other,149,Parkwoods-O'Connor Hills,45,Parkwoods-Donalda (45),-79.3258448014649,43.7433631814903
-8829390.30751779,5434045.06661169,102,GO-20051033503,2005/07/30 04:00:00+00,2005,July,30,Saturday,211,D42,Shooting,148,East L'Amoreaux,117,L'Amoreaux (117),-79.3157626269002,43.7967668769759
-8843333.73386423,5422231.90988871,103,GO-20051135001,2005/07/30 04:00:00+00,2005,July,30,Saturday,211,D31,Shooting,32,Englemount-Lawrence,32,Englemount-Lawrence (32),-79.4410185572585,43.720120884122
-8836626.17905968,5412598.47156254,104,GO-20051148137,2005/07/31 04:00:00+00,2005,July,31,Sunday,212,D52,Shooting,168,Downtown Yonge East,75,Church-Yonge Corridor (75),-79.3807635674754,43.6575446405909
-8859095.25562647,5424364.34134032,105,GO-20051041793,2005/08/03 04:00:00+00,2005,August,3,Wednesday,215,D23,Shooting,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),-79.5826067163611,43.7339637636772
-8831323.4743365,5434261.3734069,106,GO-20051102449,2005/08/05 04:00:00+00,2005,August,5,Friday,217,D42,Shooting,147,L'Amoreaux West,117,L'Amoreaux (117),-79.3331285602154,43.7981694006095
-8836042.05997669,5413858.76109791,107,GO-20051068304,2005/08/07 04:00:00+00,2005,August,7,Sunday,219,D51,Shooting,71,Cabbagetown-South St.James Town,71,Cabbagetown-South St.James Town (71),-79.3755163362658,43.6657348570957
-8836042.05997669,5413858.76109791,108,GO-20051068304,2005/08/07 04:00:00+00,2005,August,7,Sunday,219,D51,Shooting,71,Cabbagetown-South St.James Town,71,Cabbagetown-South St.James Town (71),-79.3755163362658,43.6657348570957
